Date,GOLDEN DRAGON IMI WITH PARTIAL A SHARES
2008-11-27,1059.3484391873503
2008-11-28,1092.5008810099107
2008-12-30,1048.2593683893265
2008-12-31,1075.9330445929218
2009-01-29,1057.7138940396267
2009-01-30,1092.5337293170276
2009-02-26,1089.8553185688477
2009-02-27,1091.2375534784444
2009-03-30,1175.7598653945843
2009-03-31,1175.1743212978472
2009-04-29,1285.6150199630958
2009-04-30,1350.3625069751254
2009-05-28,1497.3386540357428
2009-05-29,1493.9423727989597
2009-06-29,1499.8584281112458
2009-06-30,1494.215608345638
2009-07-30,1649.7682147265998
2009-07-31,1660.6873424206724
2009-08-28,1558.0402776790322
2009-08-31,1538.7755477828277
2009-09-29,1631.3298258002144
2009-09-30,1630.795067410771
2009-10-29,1625.0263743962623
2009-10-30,1656.8187871689545
2009-11-27,1634.1341820776047
2009-11-30,1674.564398444341
2009-12-30,1794.7755075252326
2009-12-31,1818.1957830807946
2010-01-28,1743.3193136773561
2010-01-29,1737.4428174871186
2010-02-25,1786.5044297640545
2010-02-26,1783.2015341970398
2010-03-30,1938.6640681285303
2010-03-31,1912.001100131502
2010-04-29,1939.8429147993909
2010-04-30,1948.61456136631
2010-05-28,1932.8405466364766
2010-05-31,1951.080722451184
2010-06-29,1984.750392642654
2010-06-30,1962.8716544089389
2010-07-29,1957.65950948022
2010-07-30,1961.940632894167
2010-08-30,2003.6937891086845
2010-08-31,1982.5517456642913
2010-09-29,2049.6540847377505
2010-09-30,2044.117601787037
2010-10-28,2078.180120321965
2010-10-29,2073.499238022562
2010-11-29,2209.6107516059255
2010-11-30,2213.7332203914607
2010-12-30,2234.9857254752646
2010-12-31,2223.81475561461
2011-01-28,2217.698611616248
2011-01-31,2195.2458488049224
2011-02-25,2073.2191332944767
2011-02-28,2083.4967513544943
2011-03-30,2090.524455979319
2011-03-31,2088.8376231712405
2011-04-28,2071.033079598568
2011-04-29,2063.9785353156954
2011-05-30,2100.6730225237634
2011-05-31,2126.956722858739
2011-06-29,2011.277207091273
2011-06-30,2026.2552535878585
2011-07-28,2076.883789663664
2011-07-29,2045.8990297482642
2011-08-30,1819.1208526175817
2011-08-31,1856.0364611909336
2011-09-29,1690.3610811548056
2011-09-30,1690.86082684231
2011-10-28,1803.5641058681872
2011-10-31,1815.7794180716978
2011-11-29,1757.523403764275
2011-11-30,1719.3801195954525
2011-12-29,1823.014356417745
2011-12-30,1817.2146449788306
2012-01-30,1948.1740808360673
2012-01-31,1977.8794711886433
2012-02-28,2060.1039158174904
2012-02-29,2090.5911274610207
2012-03-29,1993.5754606753972
2012-03-30,1993.8740913929405
2012-04-27,1985.2624021265137
2012-04-30,2011.8282834478166
2012-05-30,1975.3517687667122
2012-05-31,1975.6426240909107
2012-06-28,1951.43253655028
2012-06-29,1949.9053838099542
2012-07-30,2019.0969969942983
2012-07-31,2032.8375024271236
2012-08-30,1999.26327308726
2012-08-31,1982.0556508580435
2012-09-27,2059.0471488651797
2012-09-28,2074.266891634817
2012-10-30,2056.608384977382
2012-10-31,2074.578692648366
2012-11-29,2130.1089830885676
2012-11-30,2141.72778959512
2012-12-28,2173.8884621439097
2012-12-31,2183.993143864756
2013-01-30,2207.4466956097444
2013-01-31,2199.352364941128
2013-02-27,2210.223311344768
2013-02-28,2248.6495146997177
2013-03-28,2226.5937181408895
2013-03-29,2230.7286209311296
2013-04-29,2216.7839977811695
2013-04-30,2221.3141947339955
2013-05-30,2248.4488038527106
2013-05-31,2261.19667795901
2013-06-27,2082.5806779484324
2013-06-28,2126.288337534013
2013-07-30,2156.9339731033365
2013-07-31,2144.051082033013
2013-08-29,2159.1220231879042
2013-08-30,2181.1787928088297
2013-09-27,2245.4104344343564
2013-09-30,2222.8973303680555
2013-10-30,2253.457445404169
2013-10-31,2278.1251810153394
2013-11-28,2313.0033962192406
2013-11-29,2322.2511308828534
2013-12-30,2257.725473903325
2013-12-31,2273.5384138877625
2014-01-30,2195.3299130506603
2014-01-31,2208.066139558805
2014-02-27,2236.0765090010323
2014-02-28,2216.58184553615
2014-03-28,2192.9293305095653
2014-03-31,2204.861330099801
2014-04-29,2213.503886143355
2014-04-30,2181.9488296581394
2014-05-29,2311.8098911865236
2014-05-30,2309.7441437379375
2014-06-27,2366.265461022363
2014-06-30,2369.7428928219847
2014-07-30,2548.856175535177
2014-07-31,2539.450980702122
2014-08-28,2601.5092641827805
2014-08-29,2600.952610331413
2014-09-29,2550.5147622880195
2014-09-30,2544.4411303370207
2014-10-30,2603.321783758954
2014-10-31,2652.903561630077
2014-11-27,2692.98898537265
2014-11-28,2699.1181869246193
2014-12-30,2723.408401982879
2014-12-31,2759.57772451773
2015-01-29,3029.5711167705585
2015-01-30,3025.3247772537698
2015-02-26,3123.8037011992296
2015-02-27,3115.5550239800327
2015-03-30,3275.420442519168
2015-03-31,3317.054519617537
2015-04-29,3613.8006327273933
2015-04-30,3572.7233548896884
2015-05-28,3639.0103300158103
2015-05-29,3614.4300827739157
2015-06-29,3315.504130596717
2015-06-30,3370.737697845161
2015-07-30,3122.6001995016954
2015-07-31,3096.2173207745873
2015-08-28,2711.3184602560173
2015-08-31,2710.0045547110167
2015-09-29,2624.964289190424
2015-09-30,2675.1553431038333
2015-10-29,2959.366364375236
2015-10-30,2926.0859947341933
2015-11-27,2975.97063184631
2015-11-30,2971.784728530513
2015-12-30,2853.9195577327987
2015-12-31,2873.4031463992415
2016-01-28,2473.432490060383
2016-01-29,2568.0993337798177
2016-02-26,2567.151451148503
2016-02-29,2557.870135993569
2016-03-30,2687.485143813584
2016-03-31,2685.612707132674
2016-04-28,2699.343696375436
2016-04-29,2641.665727260771
2016-05-30,2684.6793842680413
2016-05-31,2706.7556325205805
2016-06-29,2712.0785336084
2016-06-30,2754.217369817009
2016-07-28,2924.1887295369147
2016-07-29,2861.094730093257
2016-08-30,3014.533793474909
2016-08-31,3005.6013680507535
2016-09-29,3100.892076182914
2016-09-30,3056.731382324177
2016-10-28,3120.776360065392
2016-10-31,3103.0378647883585
2018-03-30,3778.571271338736
2018-04-11,3813.7368621080936
2018-04-12,3820.3032828063656
2018-04-13,3797.535942205893
2018-04-16,3748.3807140896856
2018-04-17,3725.6982596626103
2018-04-18,3737.572989014057
2018-04-19,3782.78143653103
2018-04-20,3750.709427485317
2018-04-23,3731.1416547241192
2018-04-24,3748.881890068521
2018-04-25,3728.4444631051283
2018-04-26,3723.6599902121015
2018-04-27,3767.12612524666
2018-04-30,3824.2332166256897
2018-05-01,3857.4162490660533
2018-05-02,3852.1995997572667
2018-05-03,3818.147283121994
2018-05-04,3819.802550315827
2018-05-07,3851.9102466698796
2018-05-08,3916.1352753215906
2018-05-09,3920.0607807158976
2018-05-10,3943.8343490409584
2018-05-11,3950.6672909507743
2018-05-14,3992.2375928062543
2018-05-15,3986.5769104480846
2018-05-16,4014.569779230901
2018-05-17,3994.4188805980816
2018-05-18,4002.7708628503306
2018-05-21,4031.438265250917
2018-05-22,4021.4779824646366
2018-05-23,4010.2101903351067
2018-05-24,4017.877025198614
2018-05-25,4038.511770396996
2018-05-28,4069.8036011717686
2018-05-29,4054.4340252145
2018-05-30,3985.8830628837545
2018-05-31,4013.6641793143376
